id,employee_id,department,performance_score,years_with_company,salary
263,554,Sales,4.2,33,50005.66
264,265,Engineering,3.17,12,131112.84
265,4,Accounting,4.54,21,52046.53
266,183,Sales,2.13,2,88338.45
267,636,Engineering,0.83,15,103704.64
268,174,Engineering,3.89,23,46520.28
269,388,Services,3.97,38,78734.51
270,68,Human Resources,6.06,17,95394.58
271,566,Sales,7.94,11,30015.06
272,318,Accounting,2.6,16,138451.79
273,840,Services,7.58,24,126972.63
274,462,Research and Development,1.41,21,80959.41
275,54,Sales,2.57,37,56159.61
276,164,Services,6.83,36,104749.0
277,551,Business Development,8.55,32,86276.37
278,21,Sales,8.33,29,81279.15
279,212,Business Development,2.59,38,35759.39
280,998,Engineering,5.75,14,38246.37
281,30,Sales,5.75,1,133975.89
282,548,Human Resources,3.44,12,96410.89
283,755,Training,9.62,4,122920.39
284,161,Sales,8.01,14,41767.0
285,419,Research and Development,3.08,10,113095.9
286,919,Product Management,1.47,17,118196.22
287,980,Research and Development,3.89,33,85942.17
288,654,Training,8.48,23,44157.43
289,938,Sales,4.74,28,92368.28
290,116,Engineering,5.91,19,114804.56
291,431,Product Management,9.24,20,72849.15
292,102,Engineering,8.33,20,91641.22
293,1000,Services,2.03,35,122452.05
294,738,Legal,9.24,26,134879.84
295,634,Engineering,8.93,37,138518.05
296,18,Accounting,7.09,32,94811.34
297,641,Business Development,3.15,9,107415.2
298,440,Engineering,5.11,17,111833.83
299,437,Product Management,3.14,16,134028.43
300,408,Legal,0.81,24,141457.34
301,966,Marketing,4.9,31,87672.56
302,573,Marketing,5.05,33,69814.02
303,489,Sales,4.95,6,75638.68
304,734,Support,4.59,11,43228.45
305,265,Accounting,5.21,10,105135.89
306,534,Accounting,5.79,23,108606.21
307,811,Business Development,8.03,33,77499.71
308,329,Business Development,3.48,13,88950.04
309,337,Research and Development,0.48,39,52845.07
310,642,Services,1.12,11,95365.45
311,329,Research and Development,6.48,12,55809.08
312,149,Sales,5.7,11,73386.77
313,254,Human Resources,7.56,17,104380.16
314,917,Product Management,5.22,18,51464.27
315,953,Training,6.84,20,139914.94
316,152,Services,4.41,34,36660.41
317,241,Legal,5.84,2,81267.79
318,833,Research and Development,7.89,27,54824.06
319,203,Human Resources,8.89,22,46875.78
320,116,Sales,0.62,1,137881.09
321,951,Business Development,1.64,2,55082.45
322,333,Marketing,8.64,30,37542.49
323,429,Legal,1.37,37,81952.55
324,759,Research and Development,6.19,38,52306.95
325,505,Services,3.38,18,140633.05
326,713,Services,1.78,6,48414.52
327,999,Services,2.05,19,127673.4
328,401,Human Resources,5.44,2,75530.77
329,24,Training,2.81,37,75958.57
330,775,Accounting,6.59,7,103805.02
331,130,Research and Development,9.29,18,111494.58
332,170,Human Resources,9.89,25,143198.75
333,889,Sales,0.11,13,38976.3
334,393,Research and Development,6.48,6,133853.18
335,43,Services,1.18,22,54739.09
336,739,Services,1.31,30,136076.83
337,695,Human Resources,9.6,20,60699.34
338,66,Marketing,0.36,37,71282.64
339,742,Legal,5.55,2,40088.34
340,167,Accounting,9.71,12,94486.14
341,26,Support,5.95,10,51296.95
342,960,Sales,0.26,25,82301.29
343,865,Services,3.06,25,122495.14
344,442,Support,9.05,32,44399.52
345,644,Services,7.74,5,137067.32
346,460,Business Development,6.52,5,118969.36
347,561,Support,6.14,20,69985.31
348,47,Services,3.89,2,118046.08
349,941,Product Management,5.2,19,69125.29
350,960,Sales,1.47,35,70396.97
351,491,Business Development,9.5,35,145429.59
352,984,Engineering,0.96,30,108936.91
353,60,Services,8.27,8,113660.37
354,824,Training,2.46,30,104792.68
355,759,Marketing,6.36,13,126481.02
356,608,Human Resources,2.89,35,117944.18
357,163,Training,4.16,4,57289.7
358,680,Training,3.39,8,62098.93
359,579,Legal,1.84,13,47825.38
360,44,Support,6.02,4,96666.51
361,180,Accounting,8.51,29,111032.21
362,279,Legal,4.63,32,32399.61
363,637,Support,8.92,32,119129.87
364,986,Training,2.01,15,50954.83
365,371,Training,7.34,21,93023.21
366,34,Marketing,5.62,23,56990.99
367,886,Research and Development,7.4,21,90916.84
368,438,Marketing,0.3,38,92658.18
369,908,Research and Development,3.09,28,85511.63
370,908,Research and Development,4.13,5,91144.08
371,792,Support,6.52,15,108529.14
372,302,Legal,3.46,33,126257.75
373,387,Legal,1.68,5,133128.5
374,705,Sales,0.32,3,91863.7
375,193,Engineering,6.82,30,71116.03
376,571,Engineering,3.07,20,80473.69
377,881,Sales,6.47,27,93377.18
378,557,Marketing,8.28,3,105662.02
379,901,Support,3.81,24,130834.08
380,653,Business Development,4.9,26,82868.24
381,971,Human Resources,2.91,40,102579.79
382,175,Engineering,7.4,16,147430.83
383,84,Services,6.27,26,58739.05
384,865,Product Management,2.66,24,58323.32
385,807,Human Resources,2.45,1,112151.55
386,116,Legal,3.36,15,108959.15
387,481,Product Management,9.47,15,73309.54
388,882,Sales,0.16,35,35445.35
389,69,Sales,4.52,38,47070.89
390,545,Legal,5.97,32,65406.01
391,304,Training,4.75,12,40874.7
392,724,Engineering,8.69,22,40036.27
393,692,Product Management,9.17,0,129024.24
394,158,Services,7.43,16,54993.5
395,651,Training,1.62,32,113859.16
396,131,Research and Development,8.25,0,140472.84
397,99,Product Management,1.91,33,118449.49
398,216,Legal,7.11,12,103274.08
399,234,Training,9.94,20,73653.08
400,126,Research and Development,1.56,10,105798.17
401,181,Product Management,1.64,4,32439.58
402,215,Services,4.36,9,97370.32
403,646,Business Development,9.92,0,83548.54
404,381,Business Development,9.3,17,54065.24
405,992,Marketing,4.61,30,120765.45
406,544,Legal,3.27,21,97629.82
407,178,Engineering,5.07,36,54138.39
408,340,Accounting,4.24,19,139977.08
409,323,Training,4.73,20,93766.81
410,846,Product Management,4.06,13,70437.14
411,776,Sales,9.15,17,43570.1
412,790,Sales,4.43,35,48178.47
413,807,Human Resources,9.77,34,84400.16
414,857,Support,1.15,30,61741.26
415,40,Human Resources,3.54,18,128810.59
416,332,Sales,8.71,16,84707.48
417,510,Engineering,2.9,20,99750.99
418,524,Product Management,1.69,19,37790.69
419,112,Engineering,6.7,40,87478.54
420,133,Business Development,7.31,29,129674.52
421,891,Marketing,9.04,2,61536.88
422,111,Research and Development,3.52,24,82813.72
423,445,Research and Development,5.7,38,72412.37
424,823,Services,4.09,20,75666.99
425,701,Sales,3.85,1,54879.85
426,54,Support,4.93,14,47794.45
427,363,Human Resources,7.5,12,136087.04
428,846,Sales,5.2,31,121855.56
429,844,Legal,1.27,15,90757.84
430,567,Training,6.61,6,129199.68
431,756,Training,7.12,13,61283.9
432,629,Marketing,2.23,8,92317.09
433,357,Legal,9.97,31,120727.17
434,925,Marketing,1.69,7,128751.98
435,250,Training,5.14,30,125971.81
436,29,Human Resources,2.33,30,89720.03
437,835,Product Management,7.23,18,144135.67
438,160,Business Development,9.03,21,94093.37
439,899,Product Management,6.03,33,116055.73
440,800,Sales,4.86,19,100781.12
441,944,Legal,9.57,29,105747.55
442,176,Legal,2.19,40,147482.79
443,982,Marketing,0.21,11,146475.63
444,260,Product Management,6.24,33,66055.44
445,143,Marketing,1.53,24,141867.88
446,185,Accounting,0.6,39,100692.38
447,361,Sales,7.79,36,105463.1
448,85,Research and Development,7.46,27,47523.61
449,567,Product Management,6.9,24,100227.56
450,460,Marketing,4.89,10,38623.84
451,733,Support,6.69,19,110194.97
452,668,Marketing,1.59,10,107028.97
453,233,Product Management,6.43,13,49581.71
454,489,Legal,7.07,10,59894.61
455,534,Services,0.73,15,112554.1
456,327,Marketing,2.51,23,129327.95
457,833,Human Resources,0.73,28,81378.83
458,353,Research and Development,6.44,11,134514.47
459,976,Accounting,1.08,22,34659.75
460,50,Sales,9.97,19,51725.58
461,195,Sales,5.9,35,79923.62
462,432,Research and Development,8.47,37,66832.47
463,57,Services,9.05,5,81883.67
464,983,Product Management,5.22,4,80788.63
465,895,Business Development,1.11,30,147021.59
466,181,Business Development,8.1,21,100910.72
467,583,Engineering,1.28,26,122804.16
468,252,Marketing,7.84,32,123349.26
469,121,Marketing,9.12,7,146944.98
470,975,Support,7.82,39,92798.16
471,919,Services,5.42,13,128616.29
472,943,Research and Development,9.64,37,83699.38
473,661,Services,9.53,20,118833.82
474,533,Marketing,3.84,21,104186.16
475,836,Marketing,9.32,37,93294.98
476,341,Engineering,3.03,10,61665.76
477,514,Sales,6.73,2,101523.41
478,159,Support,4.94,33,128914.9
479,831,Product Management,3.94,17,53719.82
480,491,Engineering,9.43,13,65390.23
481,66,Marketing,2.81,40,111251.14
482,987,Business Development,8.3,25,125792.78
483,62,Accounting,9.99,32,132914.3
484,315,Accounting,1.09,9,81715.37
485,154,Support,9.7,17,95047.96
486,640,Support,8.99,21,133353.78
487,619,Engineering,1.17,0,63087.5
488,1,Training,9.46,13,53256.92
489,442,Engineering,2.07,1,55547.32
490,156,Services,9.49,27,117143.58
491,260,Product Management,3.34,19,123462.59
492,490,Sales,5.91,11,105331.48
493,219,Sales,3.98,40,73768.64
494,926,Sales,1.17,25,40699.74
495,784,Research and Development,0.41,17,92530.72
496,819,Product Management,5.04,31,137595.77
497,363,Support,0.17,7,38790.56
498,934,Training,1.65,30,100238.41
499,550,Human Resources,6.76,17,59655.47
500,288,Accounting,8.66,32,127554.88
501,565,Engineering,4.87,37,30447.47
502,660,Accounting,3.36,12,53333.81
503,809,Sales,0.36,35,138860.76
504,366,Human Resources,1.42,20,133097.62
505,604,Product Management,3.11,29,65904.19
506,636,Marketing,1.86,3,104669.63
507,800,Research and Development,1.02,20,41052.06
508,292,Support,7.28,31,143862.27
509,618,Product Management,5.58,24,127567.44
510,670,Legal,6.58,31,96610.69
511,731,Sales,5.7,39,88845.62
512,314,Human Resources,1.95,12,58815.37
513,272,Research and Development,5.26,8,31503.73
514,431,Research and Development,6.37,0,96325.72
515,292,Engineering,4.42,32,98207.07
516,314,Training,9.11,8,82948.87
517,882,Engineering,2.51,5,66065.94
518,868,Accounting,7.11,13,132321.64
519,355,Training,4.98,26,143014.81
520,520,Engineering,9.37,40,80557.82
521,741,Support,4.7,8,50653.25
522,369,Legal,3.91,37,88266.2
523,399,Training,7.02,40,68444.01
524,418,Training,1.17,23,42262.73
525,220,Product Management,1.51,36,93094.89
526,870,Marketing,2.58,19,145569.45
527,838,Sales,8.6,38,50788.74
528,546,Support,5.51,29,90896.96
529,316,Accounting,9.01,12,127166.52
530,655,Product Management,8.44,22,141730.85
531,851,Product Management,0.04,12,37967.86
532,523,Product Management,7.53,32,133125.28
533,267,Services,2.06,23,137522.73
534,767,Accounting,4.97,9,129750.87
535,644,Services,9.08,5,34234.46
536,353,Business Development,4.2,1,145977.89
537,507,Services,3.13,10,77914.8
538,552,Research and Development,3.38,22,52531.31
539,427,Support,4.46,34,149336.64
540,868,Legal,0.89,29,81190.89
541,962,Services,2.76,0,133130.09
542,837,Accounting,4.62,12,87341.99
543,424,Human Resources,10.0,28,116424.12
544,366,Human Resources,0.58,11,43744.17
545,857,Support,2.57,26,47071.05
546,554,Support,6.65,19,142935.4
547,648,Research and Development,1.29,1,138811.7
548,754,Support,7.63,22,91346.22
549,184,Accounting,4.95,1,48817.88
550,306,Accounting,0.04,0,138062.09
551,78,Accounting,4.33,40,91552.71
552,971,Sales,7.08,5,33315.22
553,909,Training,4.51,39,80315.95
554,467,Marketing,9.89,35,75268.97
555,733,Accounting,0.24,31,37329.01
556,354,Engineering,1.31,5,135427.75
557,737,Services,2.85,32,130098.67
558,207,Sales,1.07,7,102824.53
559,586,Services,2.36,36,103683.41
560,550,Support,9.04,15,61407.77
561,482,Support,1.26,21,67253.22
562,822,Training,0.66,33,32638.42
563,63,Training,7.27,29,140113.75
564,5,Product Management,5.49,19,31394.43
565,392,Product Management,9.37,14,134861.9
566,196,Research and Development,2.53,36,142023.48
567,35,Support,9.8,9,142243.27
568,753,Human Resources,3.99,10,139997.56
569,507,Engineering,9.44,4,120254.64
570,573,Accounting,6.8,24,38814.88
571,144,Accounting,1.22,3,127242.49
572,225,Research and Development,8.42,28,103201.86
573,716,Product Management,3.06,35,140597.8
574,765,Research and Development,9.15,24,70306.93
575,746,Services,6.28,4,106057.02
576,709,Training,6.43,32,129357.09
577,411,Accounting,2.9,27,95362.76
578,957,Support,5.68,27,72528.92
579,953,Marketing,8.6,34,41189.74
580,71,Engineering,9.25,4,115989.72
581,144,Training,0.43,25,112264.92
582,497,Business Development,1.48,1,89056.44
583,181,Engineering,6.74,27,31196.9
584,330,Accounting,4.65,5,53711.49
585,88,Legal,5.99,25,116425.06
586,419,Product Management,9.96,19,112610.01
587,233,Engineering,1.71,10,79151.71
588,279,Services,5.66,31,61900.54
589,64,Legal,1.4,22,76663.7
590,171,Engineering,8.05,3,88614.03
591,364,Accounting,6.39,2,110772.63
592,286,Legal,0.82,12,53020.18
593,249,Engineering,7.48,30,122564.32
594,765,Business Development,9.94,28,120762.82
595,486,Accounting,9.45,36,65075.65
596,271,Legal,1.37,33,129824.88
597,53,Engineering,0.87,8,109813.55
598,541,Human Resources,3.4,7,81685.46
599,799,Product Management,5.8,11,89726.31
600,985,Business Development,9.74,33,89551.66
601,23,Accounting,7.08,25,83409.49
602,546,Research and Development,2.16,19,124759.55
603,983,Sales,7.92,18,113055.71
604,115,Legal,6.31,25,135795.53
605,512,Product Management,8.97,3,83549.86
606,78,Engineering,5.83,4,79955.5
607,88,Training,3.38,14,38647.73
608,269,Product Management,5.49,1,68652.63
609,574,Human Resources,0.93,20,89176.04
610,350,Accounting,8.75,18,86591.31
611,451,Accounting,3.13,36,111322.15
612,521,Marketing,8.29,9,88313.59
613,385,Legal,9.24,35,118581.42
614,945,Product Management,8.39,1,112224.69
615,436,Research and Development,9.38,33,73458.12
616,819,Training,6.96,27,32367.24
617,328,Human Resources,6.85,4,62337.99
618,82,Support,7.0,19,123702.76
619,820,Business Development,3.55,16,148073.71
620,947,Marketing,3.21,28,90713.15
621,713,Legal,0.59,17,144069.63
622,448,Human Resources,2.35,29,92665.26
623,919,Product Management,7.15,24,58441.96
624,704,Accounting,9.66,29,70419.15
625,962,Services,0.85,20,63640.61
626,319,Services,5.55,24,72600.41
627,569,Human Resources,2.06,11,115138.6
628,268,Sales,2.65,28,114112.84
629,106,Training,5.59,31,94704.47
630,562,Legal,4.67,4,88861.98
631,911,Accounting,1.43,7,70419.26
632,823,Product Management,8.45,1,83567.95
633,851,Support,5.71,5,137701.99
634,105,Accounting,6.8,11,102969.82
635,371,Human Resources,5.33,25,127269.8
636,226,Business Development,0.82,24,82035.17
637,274,Engineering,1.82,14,51023.23
638,492,Engineering,0.72,8,34194.11
639,397,Sales,2.45,5,80464.84
640,896,Marketing,2.71,17,103381.33
641,953,Research and Development,6.21,10,129364.61
642,101,Human Resources,9.49,0,92372.43
643,728,Support,5.94,13,127089.1
644,922,Services,6.27,1,70230.83
645,158,Accounting,0.37,8,115190.72
646,571,Legal,9.88,34,83053.62
647,394,Marketing,7.8,24,31366.63
648,908,Product Management,5.35,22,71662.74
649,939,Training,8.36,31,31108.41
650,441,Marketing,3.57,8,95356.97
651,13,Accounting,0.76,29,89588.05
652,415,Research and Development,2.95,27,72315.85
653,654,Business Development,4.66,25,63486.1
654,738,Accounting,4.12,8,124947.07
655,604,Human Resources,9.94,7,101314.75
656,136,Accounting,8.85,25,123773.94
657,666,Accounting,5.42,1,93962.59
658,840,Services,6.13,23,96737.98
659,330,Research and Development,5.18,23,98386.12
660,686,Human Resources,7.84,16,51338.29
661,55,Training,5.6,20,35887.45
662,528,Support,7.74,38,89898.09
663,406,Services,0.9,39,116180.21
664,723,Research and Development,2.58,28,93261.42
665,72,Sales,4.6,0,99189.54
666,228,Legal,4.18,26,54615.18
667,193,Services,5.25,20,48710.04
668,411,Sales,5.92,4,102785.37
669,56,Sales,5.29,35,64723.67
670,104,Business Development,8.45,1,107001.44
671,164,Human Resources,4.57,20,34560.51
672,640,Human Resources,2.29,17,146533.52
673,43,Research and Development,9.36,8,119988.58
674,188,Research and Development,2.18,6,87864.66
675,690,Business Development,3.56,35,142528.32
676,178,Research and Development,5.45,24,84305.15
677,493,Support,2.09,7,78496.16
678,603,Services,7.41,27,55310.43
679,844,Human Resources,4.18,6,61304.49
680,233,Research and Development,4.72,18,87166.89
681,558,Accounting,5.94,0,50164.19
682,755,Training,1.89,9,93820.74
683,404,Business Development,8.53,18,88694.55
684,996,Business Development,3.56,26,123392.11
685,144,Accounting,7.47,35,62343.32
686,458,Accounting,7.66,29,70609.04
687,491,Research and Development,1.68,7,133224.32
688,711,Legal,1.27,30,39559.33
689,434,Engineering,1.29,16,84727.83
690,22,Business Development,0.12,23,114725.47
691,961,Research and Development,9.02,5,56372.16
692,582,Services,7.53,36,138981.57
693,491,Services,2.86,30,103027.56
694,118,Business Development,5.26,31,147430.86
695,111,Marketing,1.89,0,34987.41
696,683,Training,8.7,5,40361.17
697,76,Services,6.3,11,107910.77
698,375,Engineering,2.61,6,82675.57
699,304,Business Development,6.1,5,101499.03
700,220,Business Development,0.96,32,120009.02
701,572,Training,9.77,2,36650.14
702,969,Services,9.08,23,97240.48
703,207,Training,9.76,7,146244.69
704,710,Research and Development,5.52,29,67822.71
705,904,Legal,6.98,27,139930.97
706,580,Training,2.1,3,91213.95
707,403,Services,4.6,25,86510.54
708,963,Engineering,9.98,18,101521.51
709,958,Engineering,0.01,10,72194.97
710,884,Training,6.29,28,122783.75
711,617,Human Resources,4.71,8,86716.16
712,121,Business Development,3.7,35,61818.04
713,642,Product Management,4.79,18,51474.42
714,186,Sales,0.52,3,141914.06
715,296,Business Development,6.3,33,119557.38
